"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR494",319422.596219826,3.50113673461963,0.284424236151401,12.3095583625158,8.04622659856192e-35,1.72462820913576e-30
"SPIB",208.674124292756,3.11004694855006,0.286014230290038,10.8737489928255,1.53750402150874e-27,1.64774305985092e-23
"MIR376C",121401.659761097,2.76162093608884,0.272882376941014,10.120187925092,4.49551632271553e-24,3.21189656203616e-20
"CCL19",921.95540341487,2.34721525285715,0.247574809282812,9.48083231753947,2.52262812044957e-21,1.3517502783429e-17
"CD19",88.459339186253,2.83899639463522,0.305316653765715,9.29853108115658,1.4239931631488e-20,6.10437389178628e-17
"ELK2AP",21.5584937702472,2.8402444536038,0.307667823696366,9.23152905455205,2.66795724342776e-20,9.53083259260509e-17
"EPSTI1",289.938461205492,1.38811801255354,0.151759092522338,9.14685235317429,5.86165497232514e-20,1.79483875252596e-16
"CR2",163.896070687829,2.67280651882157,0.295027249752016,9.05952423400953,1.31020776212959e-19,3.51037414668571e-16
"CXCR4",455.831502513458,1.66430247002802,0.184614998885455,9.01499054830661,1.9688744074465e-19,4.68898378324537e-16
"CD37",620.315293126542,1.54604266398359,0.171968966716843,8.9902422134642,2.46686175822814e-19,5.28747149258619e-16
"CXCL13",254.245763915906,3.79585572721108,0.426259501032143,8.90503488607246,5.33692608726382e-19,1.0399243068583e-15
"CD79B",508.635543694075,1.6668397094554,0.188321584400587,8.85102849341896,8.67164140044701e-19,1.54889968147651e-15
"TAP1",1323.42616344381,1.26232877028264,0.143113830344497,8.82045269310463,1.13997901865929e-18,1.87956232968795e-15
"PTGDS",1582.67139488254,2.10845175299057,0.240366092085318,8.77183522309035,1.75777506651113e-18,2.69115362682854e-15
"MIR29A",297.909117888451,1.87101434491424,0.217747258019605,8.59259658161014,8.50256450522903e-18,1.21495978403386e-14
"NKG7",395.272422143857,2.1798766682883,0.254822854594821,8.55447864656564,1.18402637116947e-17,1.5861513274779e-14
"HLA-F",1878.9594581979,1.30127162386469,0.152956718634104,8.50744992102983,1.77800488217759e-17,2.11720870247747e-14
"RAC2",1643.61825818598,1.44821999285256,0.170162894259655,8.51078608619981,1.72758095857776e-17,2.11720870247747e-14
"IRF1",1156.58549140448,1.09488634327424,0.129690937429668,8.44227333824312,3.1122452457934e-17,3.33539322991679e-14
"RHOF",310.519480134514,1.87831907572695,0.22247034859485,8.44300864178368,3.09272228042751e-17,3.33539322991679e-14
"BTN3A3",578.601327057933,1.01258126906241,0.120112211225895,8.43029412852994,3.44797474234756e-17,3.51923288702275e-14
"SIT1",124.666419919217,1.54124356890926,0.183065121836845,8.4191000090278,3.79387442539844e-17,3.69626838336319e-14
"HCLS1",1171.74043012388,1.17627596464812,0.140278001219418,8.38532025280448,5.0587840764026e-17,4.71434686493971e-14
"CD70",33.4312484022268,2.29121255189947,0.274552718495302,8.34525538285166,7.1060158846721e-17,6.09241377888247e-14
"MIR4468",624.04769264405,1.75018181429869,0.209661584985153,8.34765135645917,6.96337653829955e-17,6.09241377888247e-14
"MIR4428",42468.7272982375,1.9838904588076,0.238512748800666,8.31775437071336,8.96455527091888e-17,7.39024144911059e-14
"MIR558",1673.92914003975,2.43088394402894,0.292486680496886,8.31109279882171,9.4824732566587e-17,7.52767895493417e-14
"BST2",878.798509492464,1.31192937310124,0.158041799575663,8.30115435678232,1.03104630768296e-16,7.75523994640306e-14
"CXCL9",578.868027135505,2.61183962611534,0.314714656044176,8.29907211486433,1.0492766559937e-16,7.75523994640306e-14
"PLA2G2D",351.96491539139,2.19810639495204,0.26500660711348,8.29453430951922,1.09011412662647e-16,7.7885020633706e-14
"TNF",41.7775519070483,2.07575898821947,0.250703054932853,8.27975147241595,1.23432613379619e-16,8.53436979089923e-14
