"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR376C",123371.608680803,3.26268989961843,0.272474362340402,11.9743005235199,4.84506567850382e-33,1.03941194000942e-28
"SPIB",182.765178168342,3.24073892649146,0.276566312352284,11.7177645351234,1.03363604253428e-31,1.10872970102439e-27
"MS4A1",589.823123051184,3.47072742052021,0.318054735314139,10.912358896629,1.00611208942747e-27,7.19470755149584e-24
"MIR494",355616.94089222,3.3248287292762,0.315306434409477,10.544753821796,5.37133412434559e-26,2.88078077423965e-22
"CD19",78.066410718839,3.01496714512497,0.305242196685297,9.8772947445185,5.22237172186185e-23,2.24071081098205e-19
"RAI1",974.027443707685,-4.76629060484592,0.502210969989987,-9.49061428295951,2.29676763429641e-21,8.21209267642681e-18
"MIR29A",322.462004226754,1.94197302454161,0.207145994616997,9.374900191202,6.92412492461104e-21,2.12204645725258e-17
"MIR4429",46151.9564419964,2.08928104852716,0.229666694017079,9.09701364174201,9.28496970382851e-20,2.48988068820291e-16
"CD79A",2452.28287887851,2.10344163753283,0.233688131221516,9.0010631970819,2.23542221389107e-19,5.32850141717834e-16
"MIR4428",47549.8517694359,2.16301033565879,0.2409116113239,8.9784395354472,2.7463398929954e-19,5.89172297244304e-16
"CR2",137.923861965483,2.67718007116938,0.300294185605931,8.91519116751257,4.86975403774758e-19,9.49734848834535e-16
"MIR3124",59881.5586800212,2.04702342230184,0.230383489274042,8.885287000176,6.3755966323812e-19,1.13979728795395e-15
"KLHDC7B",45.3661554232347,2.31778464289574,0.263088682741977,8.80989869552428,1.25259005748495e-18,2.0670626540942e-15
"ADAMDEC1",287.671781591262,3.10064104215246,0.353527304629048,8.77058434116122,1.7774143848918e-18,2.72363362850599e-15
"PTPRCAP",269.644348217436,3.0056006560323,0.344135459337749,8.73377204957677,2.46317276613596e-18,3.52282969012765e-15
"CD79B",484.340574213882,1.51808155002137,0.173989237688988,8.72514628022565,2.65836774598531e-18,3.56437270341392e-15
"GZMK",240.260197943467,2.19511305619258,0.254214744039257,8.63487703865673,5.87902410380891e-18,7.41898259405957e-15
"CCL19",950.200674034341,2.23792907018176,0.260443323575261,8.59276805202905,8.48988101456764e-18,9.59313800072379e-15
"IL2RB",167.636360143921,1.96795482402596,0.229026837149364,8.5926821874701,8.49622999178446e-18,9.59313800072379e-15
"CXCL13",228.290416796625,3.83850732483421,0.44741380018505,8.57932259408763,9.54334834967363e-18,1.02366726072774e-14
"GPR183",393.00753029067,1.41001256696335,0.164554249654636,8.56867914333822,1.04678749936466e-17,1.06936820113667e-14
"TCL1A",54.6531978517585,4.20158255992013,0.491341062241965,8.55125468396335,1.21757626179488e-17,1.18730288837662e-14
"SELL",355.327990892874,1.87445466835865,0.219534210083221,8.53832606612006,1.36180186028984e-17,1.27020588299122e-14
"CCR7",230.138641291272,2.12503362827842,0.250685413643174,8.47689379846884,2.31285891602534e-17,2.06740676356215e-14
"MIR4468",652.197781277329,1.72727550802548,0.204352001320391,8.45245212606155,2.85247532802737e-17,2.44776612848684e-14
"IGLVIV-65",11962.9994912064,2.15091312192189,0.259807497668494,8.2788724006202,1.24347088918461e-16,1.02600696098759e-13
"RAC2",1734.45934825453,1.31630523145967,0.159145891241292,8.2710601021042,1.32773092757314e-16,1.05495598478617e-13
"EVI2A",357.979881604593,1.12194786509675,0.135950777958517,8.25260349329592,1.54980583560788e-16,1.1510623975984e-13
"TIGIT",120.190292202545,2.10503401818562,0.255089866829182,8.25212715954426,1.55599727452355e-16,1.1510623975984e-13
"CD38",433.642722545481,1.58505039029926,0.192185287278983,8.24751162141949,1.61726775296954e-16,1.15650817014852e-13
"LTB",197.816974300788,1.96033783573598,0.240735657542648,8.14311371961459,3.85240123000303e-16,2.66598592216952e-13
"CCL18",730.181611014052,2.32120276405268,0.285335534589997,8.13499365716243,4.11959917433382e-16,2.76180503396823e-13
"SIT1",119.107755554443,1.49171144621671,0.183489501275337,8.12968282026285,4.30415158608729e-16,2.79808981746457e-13
"SNX20",243.959235761364,1.47726994675749,0.182488840441745,8.0951248480812,5.72056498913265e-16,3.60950825623126e-13
"TRAV26-2",706.15586840478,1.54482645915361,0.190930870172305,8.0910250802266,5.9164669762931e-16,3.62645617264046e-13
"CD3E",351.286963980505,1.44406838170957,0.178620459395642,8.08456313792687,6.23874202325158e-16,3.71777035068934e-13
"TRG-GCC1-5",13152.4293934378,1.91538275759994,0.237157467847656,8.07641764344663,6.66971713617135e-16,3.86717410060227e-13
"GPR25",53.5421389023289,2.31624724617819,0.287467997382797,8.05740905862936,7.7928528558415e-16,4.39947558727283e-13
"SH2D1A",157.740111540432,1.91876887977119,0.238904973240755,8.03151501512513,9.62762883069762e-16,5.29593644371682e-13
"MIR558",1909.96309859246,2.41754070797792,0.301138191576372,8.02801097835778,9.90656176766655e-16,5.31313674004377e-13
"CXCR4",457.03711729964,1.51753882726525,0.189473705321364,8.00923180708044,1.15427161512136e-15,6.03965584370698e-13
"MMP9",511.771064902926,2.62081495893602,0.328574302946975,7.97632357561135,1.50756400952394e-15,7.70042159436119e-13
"CD3D",498.452506837607,1.67976369406936,0.210683164939009,7.97293744165862,1.54946619209254e-15,7.73039493464217e-13
"PAX5",51.6323499030617,2.79768865018836,0.351857618892697,7.95119531301535,1.84720450830028e-15,9.00638143558317e-13
"CD37",619.814255228382,1.36164527126425,0.174428228630526,7.80633548798163,5.88747328342628e-15,2.80675476331876e-12
"PCED1B-AS1",229.096792211845,1.65567632566445,0.212470319139114,7.79250641865137,6.569283264935e-15,3.06371378005762e-12
"FCRLA",192.83634353076,1.83481232923638,0.235645351843757,7.78632939236987,6.89839628929946e-15,3.14875097009237e-12
"MAP4K1",277.024461833479,1.386141232756,0.178429282191773,7.7685748422515,7.93741018214565e-15,3.54752626328272e-12
"HCLS1",1240.95278858944,1.09929021117891,0.141760899751845,7.7545374860292,8.86660313445354e-15,3.88194361313126e-12
"CORO1A",1015.27996796736,1.21091251045052,0.157299369554652,7.69813962941406,1.38061464067498e-14,5.92366517728008e-12
"SLAMF6",173.273173262083,1.96158296586018,0.254993202169378,7.69268729194283,1.4407634897287e-14,6.06052924414702e-12
"TNFRSF9",40.8578878371053,1.98614779821039,0.25861830732799,7.67984223054819,1.59284636654637e-14,6.57141021183061e-12
"MIR4671",13740.7593144872,2.03384872090326,0.265315577991719,7.66577196973612,1.7775876328111e-14,7.19520518616914e-12
"MIR4742",472636.395457942,1.58074150449707,0.206995397838808,7.63660217087546,2.23029282679349e-14,8.86045778022235e-12
"PLA2G2D",357.455897655339,2.03118801388172,0.266605648317928,7.61869835353047,2.56246493245141e-14,9.99501094470548e-12
"HLA-DQB1",3129.06940266436,1.23578531742788,0.162584801277849,7.60086618008029,2.9415516865607e-14,1.12687693449619e-11
"CST7",434.556544553643,1.71946372074981,0.226808484649703,7.58112609149279,3.42568459273725e-14,1.28931950119285e-11
"CXCL9",577.896613740809,2.49944650695748,0.329817419287649,7.57827319234947,3.50184421899488e-14,1.29525972465685e-11
