"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZBTB32",26.0269519654886,3.37211486595634,0.349608778885,9.64539528072195,5.14127345998693e-22,1.05154466077113e-17
"MIR494",335767.082455946,2.72503402771635,0.330071612914883,8.25588727140573,1.50777886775575e-16,1.02795337274028e-12
"S100A8",1109.33729114647,-3.99138148771096,0.481911062166386,-8.28240271092362,1.20714568501961e-16,1.02795337274028e-12
"SPIB",184.793136973568,2.4376059349671,0.309263216589284,7.8819782121207,3.22238222232795e-15,1.64768458983184e-11
"IGHVIII-22-2",8431.95897553832,2.32321543799673,0.299167944799632,7.76558945696106,8.1266383129441e-15,3.32428266829291e-11
"CTSS",3458.97030272701,0.857964243932649,0.112713684377529,7.61189068275806,2.70114987117535e-14,9.20776971919158e-11
"CCL25",6.51409452196317,3.88926462367212,0.519906063546593,7.48070641288754,7.39241586014861e-14,1.88996351984524e-10
"MIR4429",41785.2897311186,1.83669974227953,0.24531160175182,7.48721107833174,7.03525104110915e-14,1.88996351984524e-10
"KIR3DX1",8.38812352525772,2.081736948581,0.280142278784753,7.43099883963071,1.07780657801746e-13,2.00403435819918e-10
"MIR376C",129240.35831655,2.29329205854267,0.308376066164326,7.43667330304628,1.03252481838573e-13,2.00403435819918e-10
"TAGAP",604.407970625234,1.43572690857832,0.192574445851868,7.45543834867224,8.95695308990045e-14,2.00403435819918e-10
"IGFLR1",625.753752736118,1.28217576143538,0.173342577073245,7.39677338991911,1.39533365566808e-13,2.37822993828161e-10
"MIR6765",7554.76392023103,1.90856281915417,0.26396152880997,7.23045827078904,4.81366888057941e-13,7.57338227803775e-10
"CD74",60589.6507899383,1.23998261926986,0.173711788648525,7.13816044908011,9.45881857080009e-13,1.31009826351307e-09
"IDO1",120.126993354412,1.97654787746944,0.276982335155103,7.13600698168213,9.60811321209406e-13,1.31009826351307e-09
"C2",737.221102187732,1.02543128982349,0.144932283252464,7.07524415410778,1.49185862247822e-12,1.90706152534669e-09
"CD38",410.328020813049,1.49620124295205,0.211944679528447,7.05939515104098,1.67228901425561e-12,1.92842761743648e-09
"HCLS1",1217.55940260639,1.11200748540972,0.157567407662754,7.05734454799039,1.69714453204208e-12,1.92842761743648e-09
"SCIMP",141.677495520914,1.45239129800671,0.206911574156375,7.01938160747379,2.22852357286667e-12,2.39894698083379e-09
"IGLVIV-65",10739.798722856,1.99862843314906,0.286946064915583,6.96517108097313,3.2800490565575e-12,3.19461158827479e-09
"MIR3620",37746.0317381011,1.59446075861676,0.2288073811233,6.96857221471161,3.2017362438792e-12,3.19461158827479e-09
"MAP4K1",277.517787155406,1.30858046187243,0.188185782808246,6.95366271747435,3.55921984782577e-12,3.30894197943547e-09
"CFAP54",79.7692835567583,1.52111072867918,0.219561314812016,6.92795417982227,4.26969977589604e-12,3.79687693549572e-09
"MCUB",356.642354426841,0.896099531080559,0.130186678357567,6.88318914335732,5.85272331004042e-12,4.98773957751069e-09
"BTK",251.039996718516,1.1439909415205,0.16676209936128,6.86001762931827,6.88520505660323e-12,5.63292396090823e-09
"GBP5",249.343435090668,1.5759848383031,0.230383539890045,6.84070068137361,7.88067634014525e-12,6.19936435326888e-09
"LAX1",472.029818566666,1.61130830602748,0.237251850162405,6.79155212035013,1.10933491149218e-11,8.10329533741052e-09
"TASL",128.077973963497,1.26474843384693,0.186088763170916,6.79647933757988,1.07206673221388e-11,8.10329533741052e-09
"BTN3A3",591.94174485499,0.904013697394975,0.133798168252167,6.75654763592276,1.4131853239053e-11,9.63462647661171e-09
"LILRB1",210.634872464043,1.10090153113784,0.162861623539071,6.7597357020927,1.38243690128514e-11,9.63462647661171e-09
"CXCR6",117.821970147168,1.36196290892776,0.202573835410573,6.72329131828579,1.77664867963642e-11,1.17218694982592e-08
"SLAMF6",174.197405468063,1.74342897864756,0.260050662578151,6.70418971966134,2.02526996076873e-11,1.29446395336259e-08
"HLA-F",1919.18589211815,1.1263208094672,0.168555363804775,6.68220093411996,2.35379977851304e-11,1.45885657181597e-08
"CCR1",203.884670475186,1.28201532966108,0.193385196663031,6.62933539786378,3.37201614723625e-11,2.02846606645362e-08
"BTN3A2",1465.39197720154,0.84262661604032,0.127430734732543,6.6124284522793,3.78065860327187e-11,2.1479391781311e-08
"MIR6071",813.163668569528,1.7028795186641,0.257472446589201,6.61383204774939,3.74496614321171e-11,2.1479391781311e-08
"PARP9",2183.1998155283,1.23347750882375,0.187704703735584,6.5713723965134,4.98535999852025e-11,2.75582616350634e-08
"EOMES",87.45063664217,2.11429604815804,0.322354038702919,6.55892526324626,5.41969546228758e-11,2.91707977079389e-08
"NCF4",408.346030639578,1.15197843261911,0.175858669428589,6.55059222478023,5.73093509535668e-11,3.00550808988026e-08
"GBP1",603.552275977404,1.25282427540246,0.191740753743945,6.53394883946012,6.40578349960873e-11,3.27543724793743e-08
"CD37",635.864001294894,1.26670532491829,0.194600094342838,6.50927395074466,7.55148970276247e-11,3.76708826562441e-08
"NPL",321.948865324659,1.40459646074389,0.216283131403866,6.49424877301728,8.34487563338338e-11,4.06375574594263e-08
"TIGIT",117.722005508601,1.76183061042565,0.272099110689346,6.47495909105386,9.48376323020192e-11,4.51096300807721e-08
"CFB",1860.73021373717,1.28097077403786,0.198554332332783,6.45148740391582,1.10757657322431e-10,5.14846901185382e-08
"MICB",70.4220659751725,1.1419042669354,0.177640184876627,6.42818666130337,1.29135110835409e-10,5.86933427092581e-08
"WARS1",3381.08239429699,0.959425730201052,0.149996042471294,6.39634029267584,1.59145121129828e-10,7.07607644014865e-08
"IGHD1-26",18.2687878054281,2.3118963665637,0.36182892866847,6.3894735422938,1.664578343023e-10,7.24374911698922e-08
"CD68",2618.57463425005,1.03465517609915,0.162868818910969,6.35269036158931,2.11581341761459e-10,8.83157792458598e-08
"SH2D1A",150.508989386103,1.85128424422031,0.291391279934598,6.35325890546837,2.10800470606787e-10,8.83157792458598e-08
"KRT6A",1128.40589519233,-2.97327857799098,0.470190712405991,-6.32355871679506,2.55607011805084e-10,1.04558604248988e-07
"CASP1",688.852376215207,0.67845430424726,0.107503394142611,6.31100357024301,2.77231797851282e-10,1.11180822773574e-07
"RAC2",1686.2808280014,1.21606182315828,0.192868048436242,6.30514920961769,2.87916390878540e-10,1.13245268127669e-07
"MIR4468",645.063545654153,1.46548499613789,0.23285381348261,6.29358383364991,3.10218841712554e-10,1.19715206972582e-07
