"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR494",328150.824674178,3.29713487651526,0.287254920519162,11.4780797159411,1.70014564063895e-30,3.65208285065653e-26
"IGLVIV-65",10847.913311513,2.38971904810537,0.249539540243289,9.57651459073582,1.00375146938653e-21,1.0780792656946e-17
"ELK2AP",24.182260786609,2.86671832514177,0.308352155725125,9.29689730367008,1.44603781924486e-20,1.03541127983996e-16
"MIR155",14377.1799779974,2.15072273275549,0.23272175325325,9.24160592076264,2.42824959337659e-20,1.30403073788306e-16
"MIR6765",7524.08024040012,2.12962049288325,0.236451467910826,9.00658605209593,2.12570643686239e-19,9.13245999404821e-16
"DDX3Y",16.9344378429241,-25.9383498692344,2.92825212595723,-8.85796330148836,8.14895321251962e-19,2.9174610659689e-15
"MIR4765",37205.2147374156,1.74769750500565,0.202656068412681,8.6239584074369,6.46786188111786e-18,1.98480201526133e-14
"MIR4429",36763.9595790476,1.7558170009973,0.207593048937275,8.45797588110876,2.72058367024203e-17,7.30510722755862e-14
"MIR99A",9547.02115822192,1.81583241153474,0.223813875995359,8.11313598613696,4.93298130842088e-16,1.17739301651321e-12
"MIR3124",56750.6965936826,1.75521556413387,0.218898553116926,8.018397285597,1.07133815331666e-15,2.30134148713952e-12
"MIR1182",367.701789035951,1.78656211044603,0.224177032937388,7.96942526643667,1.59413996810863e-15,3.1130655140856e-12
"MIR558",1740.13582494082,2.30875622153529,0.290508630368408,7.9472896161723,1.90636375510105e-15,3.41254998527714e-12
"MIRLET7C",8639.00943289188,1.74724074500885,0.222361495071359,7.85765873919913,3.91379853497062e-15,6.4671004869003e-12
"MIR4671",12572.9003676754,1.90910523159239,0.243637912886438,7.83582985494642,4.65756221205719e-15,7.14636384837147e-12
"ICAM4",57.1347351159793,1.43995669301991,0.190554263478729,7.5566752836294,4.13502540615528e-14,5.92163204997478e-11
"MIR4428",43387.0515675661,1.78634820033625,0.238221863744411,7.4986744384337,6.44664203061642e-14,8.65501984122946e-11
"UTY",14.6366660643197,-4.55887038273399,0.611689502382559,-7.45291584206853,9.12995271412592e-14,1.15365008383611e-10
"MIR941-3",3902.97269493853,1.80013921085253,0.243716776436074,7.38619325750313,1.51092141682544e-13,1.80311683082374e-10
