"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MIR494",498687.362837411,2.87032628432111,0.340393080324404,8.43238729055716,3.38683935942135e-17,6.89933045907722e-13
"IGLVIV-65",17848.1284202908,2.41839883366053,0.294295543821067,8.21758563606022,2.07640960828608e-16,2.11492700651979e-12
"MIR217",455.969266698304,2.67173239644851,0.353585435912891,7.55611551010464,4.15285076304e-14,2.81992409646293e-10
"HBB",6163.05628750456,-2.53381333176277,0.340940375194658,-7.43183710734203,1.07099644174441e-13,5.45431712869386e-10
"MIR155",23180.4953826706,2.09252294780212,0.286521947972958,7.30318554165215,2.8103321310691e-13,1.14498551684017e-09
"MIR1286",184.505700003996,2.99516085238168,0.416943042809681,7.18362113011407,6.78888318425148e-13,2.30493898910645e-09
"MIR4264",522.532010738659,3.55232299523211,0.506404581397686,7.01479237298294,2.3029067954548e-12,5.86406429127621e-09
"MIR558",2814.12653749447,2.42614322622854,0.344965821389926,7.03299595436207,2.02145230317469e-12,5.86406429127621e-09
"MIR4778",2721.69078555904,1.9548479683368,0.294832832825321,6.63036049819791,3.34868019609615e-11,7.57955158607497e-08
"ICAM4",76.8213576899908,1.49552908567253,0.226729727392751,6.59608734536125,4.2215027542043e-11,8.59962326058958e-08
"MIR4428",70254.375659571,1.83428296921967,0.282274015426678,6.49823529256499,8.12676329693848e-11,1.50500268292667e-07
"MIR4765",55078.5443861569,1.70447251383018,0.263922427963497,6.45823292466044,1.05932610678639e-10,1.79829434344546e-07
"HBA1",1714.17636472432,-2.15344857606861,0.342953181070019,-6.27913282317374,3.40466641364687e-10,5.33511227018464e-07
"MIR6724-2",35941.9319606689,1.72983419514868,0.278276196096823,6.21624924952908,5.09179013064921e-10,7.40891833938965e-07
"HBA2",6106.83762779423,-2.0607629116359,0.336291047360716,-6.12791487554966,8.903819737476e-10,1.20919807914749e-06
"MIR99A",14491.0830188978,1.72707567485938,0.284158000874123,6.07787100678699,1.21788660594518e-09,1.45938635586525e-06
"ST6GALNAC4",998.455192135339,0.909717550473852,0.149567628548836,6.08231580122178,1.18458952238196e-09,1.45938635586525e-06
"CCL25",10.7317349711505,3.51013628398474,0.589155620472116,5.95791020574821,2.55483819356988e-09,2.89136715784512e-06
"CA3",1328.70793543906,-1.75358442479804,0.301160007961114,-5.82276656409327,5.78813755286082e-09,5.95133961691079e-06
"MIR6765",11743.9947393936,1.83855558746984,0.315838354654836,5.82119163291331,5.84295284169731e-09,5.95133961691079e-06
"CFAP54",107.178272757584,1.46049751117883,0.251542662807418,5.80616224253376,6.39210251403405e-09,6.20064382444703e-06
"MIR4742",684211.774197844,1.41086763271001,0.243579744054534,5.79222068808043,6.94617848805598e-09,6.43184554455402e-06
"IGHJ1P",3.95969283583703,2.91978279983384,0.510968672603871,5.71421098079218,1.10214191097793e-08,9.35488869522139e-06
"MIR548X",5234.97766451207,1.76911607127385,0.309590281119087,5.71437858087458,1.10105631143563e-08,9.35488869522139e-06
"LINC02384",42.3755984327162,1.88136753716777,0.331139359531048,5.68149778338679,1.33520245573461e-08,1.08797636903079e-05
"MIR6071",1291.59464126831,1.5891969321563,0.280991959178536,5.65566693368102,1.55242258766601e-08,1.21632309743632e-05
"MIR4671",19411.1644473795,1.78185576797787,0.317858388587278,5.60581640112544,2.07275593461188e-08,1.56337052663654e-05
"MIR4753",51957.2553408173,1.44636772232438,0.258364524940021,5.59816686389184,2.16630195339497e-08,1.56337052663654e-05
"PCED1B-AS1",309.626964188613,1.56943749843778,0.280583272115133,5.59348205830952,2.22560234021205e-08,1.56337052663654e-05
